Hours worked, hours estimated and cost
SprintNumber,Member,HoursWorked,HoursEstimated,Cost
trvas,ui-features,changed the board to get cards from,2021-10-15
trvas,ui-features,same as prev,2021-10-15
trvas,ui-features,--,2021-10-15
trvas,ui-features,readded javaDoc of extra function,2021-10-15
trvas,ui-features,cleaning classes,2021-10-18
trvas,ui-features,adding test class and constructor to TrelloManager,2021-10-22
trvas,ui-features,Merge branch 'main' into backlog-items

# Conflicts:
#	src/main/java/TrelloManager.java,2021-10-24
trvas,ui-features,merging with main, changing a few details,2021-10-24
trvas,ui-features,changing syntax,2021-10-24
trvas,ui-features,changing syntax, removing unnecessary imports,2021-10-24
trvas,ui-features,cleaning up classes, implementing tests,2021-10-28
trvas,ui-features,changing the method to match the new trello board changes,2021-11-12
trvas,ui-features,clearing out the main method,2021-11-12
trvas,ui-features,updating the getBoardListByName method and test,2021-11-12
trvas,ui-features,Merge remote-tracking branch 'origin/main',2021-11-12
trvas,ui-features,cleaning the test class,2021-11-12
trvas,ui-features,Merge branch 'main' into backlog-items,2021-11-12
trvas,ui-features,resolving imports, cleaning trelloManager class,2021-11-12
trvas,ui-features,clearing out TrelloManager,2021-11-14
trvas,ui-features,adding the getSprintCount class + tests,2021-11-14
trvas,ui-features,fixing warnings,2021-11-20
trvas,ui-features,backlog branch,2021-10-15
trvas,ui-features,testing features,2021-10-15
trvas,ui-features,getSprintBacklog v1,2021-10-15
trvas,ui-features,getSprintBacklog v1 (reorganizing),2021-10-15
trvas,ui-features,reorganizing classes,2021-10-15
trvas,ui-features,changed the board to get cards from,2021-10-15
trvas,ui-features,--,2021-10-15
trvas,ui-features,cleaning classes,2021-10-18
trvas,ui-features,adding test class and constructor to TrelloManager,2021-10-22
trvas,ui-features,merging with main, changing a few details,2021-10-24
trvas,ui-features,cleaning up classes, implementing tests,2021-10-28
trvas,ui-features,changing the method to match the new trello board changes,2021-11-12
trvas,ui-features,clearing out the main method,2021-11-12
trvas,ui-features,cleaning the test class,2021-11-12
trvas,ui-features,changing syntax,2021-10-24
trvas,ui-features,changing syntax, removing unnecessary imports,2021-10-24
trvas,ui-features,updating the getBoardListByName method and test,2021-11-12
trvas,ui-features,resolving imports, cleaning trelloManager class,2021-11-12
glrss-iscte,sprint-cost-OLD,Merge pull request #1 from Henrique-DeSousa/patch-1

README v1.0.1,2021-10-11
glrss-iscte,sprint-cost-OLD,reformato,2021-10-13
pjspa-iscte,sprint-cost-OLD,envio calculo horas,2021-10-13
Henrique-DeSousa,sprint-cost-OLD,README v1.0.1

Added a backstory to the file.
Added some of the requisites.
Added a, still in progress, short description of the project.
Added English to our project.,2021-10-08
Henrique-DeSousa,sprint-cost-OLD,Created API's, Interface, Main and Utility classes,2021-10-13
Henrique-DeSousa,sprint-cost-OLD,Merge branch 'main' of https://github.com/trvas/ES-LETI-1Sem-2021-Grupo9,2021-10-13
Henrique-DeSousa,sprint-cost-OLD,Added Git constructor,2021-10-28
Henrique-DeSousa,sprint-cost-OLD,Added Git constructor,2021-10-29
Henrique-DeSousa,sprint-cost-OLD,Merge pull request #3 from trvas/backlog-items

Backlog items Backlog Items Developed in each SPRINT,2021-11-12
trvas,sprint-cost-OLD,Initial commit,2021-10-08
trvas,sprint-cost-OLD,Added authors to README,2021-10-08
trvas,sprint-cost-OLD,intellij added files,2021-10-15
trvas,sprint-cost-OLD,intelliJ build,2021-10-15
trvas,sprint-cost-OLD,intelliJ build,2021-10-15
trvas,sprint-cost-OLD,renaming,2021-10-15
trvas,sprint-cost-OLD,added trello4j dependencies,2021-10-15
trvas,sprint-cost-OLD,testing trello4j,2021-10-15
trvas,sprint-cost-OLD,installed github api,2021-10-15
trvas,sprint-cost-OLD,clearing main,2021-10-15
trvas,sprint-cost-OLD,backlog branch,2021-10-15
trvas,sprint-cost-OLD,testing features,2021-10-15
trvas,sprint-cost-OLD,getSprintBacklog v1,2021-10-15
trvas,sprint-cost-OLD,getSprintBacklog v1 (reorganizing),2021-10-15
trvas,sprint-cost-OLD,reorganizing classes,2021-10-15
trvas,sprint-cost-OLD,added getBoardListIdByName + extras that might be helpful,2021-10-15
trvas,sprint-cost-OLD,changed the board to get cards from,2021-10-15
trvas,sprint-cost-OLD,same as prev,2021-10-15
trvas,sprint-cost-OLD,--,2021-10-15
trvas,sprint-cost-OLD,readded javaDoc of extra function,2021-10-15
trvas,sprint-cost-OLD,cleaning classes,2021-10-18
trvas,sprint-cost-OLD,adding test class and constructor to TrelloManager,2021-10-22
trvas,sprint-cost-OLD,Merge branch 'main' into backlog-items

# Conflicts:
#	src/main/java/TrelloManager.java,2021-10-24
trvas,sprint-cost-OLD,merging with main, changing a few details,2021-10-24
trvas,sprint-cost-OLD,changing syntax,2021-10-24
trvas,sprint-cost-OLD,changing syntax, removing unnecessary imports,2021-10-24
trvas,sprint-cost-OLD,cleaning up classes, implementing tests,2021-10-28
trvas,sprint-cost-OLD,changing the method to match the new trello board changes,2021-11-12
trvas,sprint-cost-OLD,clearing out the main method,2021-11-12
trvas,sprint-cost-OLD,updating the getBoardListByName method and test,2021-11-12
trvas,sprint-cost-OLD,Merge remote-tracking branch 'origin/main',2021-11-12
trvas,sprint-cost-OLD,cleaning the test class,2021-11-12
trvas,sprint-cost-OLD,Merge branch 'main' into backlog-items,2021-11-12
trvas,sprint-cost-OLD,resolving imports, cleaning trelloManager class,2021-11-12
trvas,sprint-cost-OLD,clearing out TrelloManager,2021-11-14
trvas,sprint-cost-OLD,adding the getSprintCount class + tests,2021-11-14
trvas,sprint-cost-OLD,added methods (getCardHours + getSprintCost)
missing - javadoc and tests, getting cost,2021-11-20
trvas,sprint-cost-OLD,starting javaDocs,2021-11-21
glrss-iscte,sprint-cost,Merge pull request #1 from Henrique-DeSousa/patch-1

README v1.0.1,2021-10-11
glrss-iscte,sprint-cost,reformato,2021-10-13
glrss-iscte,sprint-cost,Simple UI features / Reformat classes,2021-10-18
glrss-iscte,sprint-cost,Adding stuff,2021-10-18
glrss-iscte,sprint-cost,Simple UI features / Reformat classes,2021-11-19
