Hours worked, hours estimated and cost
SprintNumber,Member,HoursWorked,HoursEstimated,Cost
trvas,main,adding test class and constructor to TrelloManager,2021-10-22
trvas,main,merging with main, changing a few details,2021-10-24
trvas,main,cleaning up classes, implementing tests,2021-10-28
trvas,main,changing the method to match the new trello board changes,2021-11-12
trvas,main,clearing out the main method,2021-11-12
trvas,main,cleaning the test class,2021-11-12
trvas,main,changing syntax,2021-10-24
trvas,main,changing syntax, removing unnecessary imports,2021-10-24
trvas,main,updating the getBoardListByName method and test,2021-11-12
trvas,main,resolving imports, cleaning trelloManager class,2021-11-12
trvas,main,Merge pull request #7 from trvas/ui-features-2

UI features,2021-11-21
trvas,main,re-adding trelloManager classes + tests.,2021-11-21
trvas,main,renaming packages,2021-11-21
trvas,main,fixing warnings,2021-11-21
trvas,main,adding javadoc, fixing warnings,2021-11-21
trvas,main,pasting methods onto new updated sprint cost branch,2021-11-21
trvas,main,small updates,2021-11-22
trvas,main,changing up classes, adding tests, fixing codesmells and other warnings,2021-11-23
trvas,main,adding getsprintcostbymember + tests,2021-11-23
trvas,main,Merge branch 'main' into sprint-cost,2021-11-23
trvas,main,adding classes to get sprint hours + estimated and same thing but by member, plus tests,2021-11-23
trvas,main,Merge remote-tracking branch 'origin/sprint-cost' into sprint-cost,2021-11-23
trvas,main,fixed tests,2021-11-26
trvas,main,adding the two classes (for committed activities and for not committed activities), javadocs and tests. plus some changes.,2021-11-26
trvas,main,fixing trellomanager,2021-11-27
trvas,main,getting rid of static in methods,2021-11-27
trvas,main,adding new gitmanager to main,2021-12-04
trvas,main,small fixes,2021-12-04
trvas,main,small fixes,2021-12-04
trvas,main,small fixes,2021-12-04
trvas,main,Merge remote-tracking branch 'origin/main'

# Conflicts:
#	src/main/java/es/grupo9/GitManager.java
#	src/test/java/es/grupo9/GitManagerTest.java,2021-12-04
trvas,main,Merge remote-tracking branch 'origin/main',2021-12-04
trvas,main,Merge remote-tracking branch 'origin/main',2021-12-04
trvas,main,small fixes (thanks nikolai!),2021-12-04
trvas,main,added export CSV method.
small changes to gitmanager.,2021-12-04
trvas,main,small fixes. adding getDate,2021-12-05
trvas,main,adding two new methods,2021-12-06
glrss-iscte,backlog-items,Merge pull request #1 from Henrique-DeSousa/patch-1

README v1.0.1,2021-10-11
glrss-iscte,backlog-items,reformato,2021-10-13
pjspa-iscte,backlog-items,envio calculo horas,2021-10-13
Henrique-DeSousa,backlog-items,README v1.0.1

Added a backstory to the file.
Added some of the requisites.
Added a, still in progress, short description of the project.
Added English to our project.,2021-10-08
Henrique-DeSousa,backlog-items,Created API's, Interface, Main and Utility classes,2021-10-13
Henrique-DeSousa,backlog-items,Merge branch 'main' of https://github.com/trvas/ES-LETI-1Sem-2021-Grupo9,2021-10-13
Henrique-DeSousa,backlog-items,Added Git constructor,2021-10-28
Henrique-DeSousa,backlog-items,Added Git constructor,2021-10-29
trvas,backlog-items,Initial commit,2021-10-08
trvas,backlog-items,Added authors to README,2021-10-08
trvas,backlog-items,intellij added files,2021-10-15
trvas,backlog-items,intelliJ build,2021-10-15
trvas,backlog-items,intelliJ build,2021-10-15
trvas,backlog-items,renaming,2021-10-15
trvas,backlog-items,added trello4j dependencies,2021-10-15
trvas,backlog-items,testing trello4j,2021-10-15
trvas,backlog-items,installed github api,2021-10-15
trvas,backlog-items,clearing main,2021-10-15
trvas,backlog-items,backlog branch,2021-10-15
trvas,backlog-items,testing features,2021-10-15
trvas,backlog-items,getSprintBacklog v1,2021-10-15
trvas,backlog-items,getSprintBacklog v1 (reorganizing),2021-10-15
trvas,backlog-items,reorganizing classes,2021-10-15
trvas,backlog-items,added getBoardListIdByName + extras that might be helpful,2021-10-15
trvas,backlog-items,changed the board to get cards from,2021-10-15
trvas,backlog-items,same as prev,2021-10-15
trvas,backlog-items,--,2021-10-15
trvas,backlog-items,readded javaDoc of extra function,2021-10-15
trvas,backlog-items,cleaning classes,2021-10-18
trvas,backlog-items,adding test class and constructor to TrelloManager,2021-10-22
trvas,backlog-items,Merge branch 'main' into backlog-items

# Conflicts:
#	src/main/java/TrelloManager.java,2021-10-24
trvas,backlog-items,merging with main, changing a few details,2021-10-24
trvas,backlog-items,changing syntax,2021-10-24
trvas,backlog-items,changing syntax, removing unnecessary imports,2021-10-24
trvas,backlog-items,cleaning up classes, implementing tests,2021-10-28
trvas,backlog-items,changing the method to match the new trello board changes,2021-11-12
trvas,backlog-items,clearing out the main method,2021-11-12
trvas,backlog-items,updating the getBoardListByName method and test,2021-11-12
trvas,backlog-items,Merge remote-tracking branch 'origin/main',2021-11-12
trvas,backlog-items,cleaning the test class,2021-11-12
trvas,backlog-items,Merge branch 'main' into backlog-items,2021-11-12
glrss-iscte,activities,Merge pull request #1 from Henrique-DeSousa/patch-1

README v1.0.1,2021-10-11
glrss-iscte,activities,reformato,2021-10-13
glrss-iscte,activities,Simple UI features / Reformat classes,2021-10-18
glrss-iscte,activities,Adding stuff,2021-10-18
glrss-iscte,activities,Simple UI features / Reformat classes,2021-11-19
glrss-iscte,activities,Handlers Working / Ready to implement Trello and Git,2021-11-19
glrss-iscte,activities,JavaDocs and refactoring classes,2021-11-20
glrss-iscte,activities,Merge remote-tracking branch 'origin/main-t' into main-t

# Conflicts:
#	src/main/java/GitManager.java
#	src/main/java/TrelloManager.java
#	src/test/java/TrelloManagerTest.java,2021-11-21
glrss-iscte,activities,JavaDocs and refactoring classes,2021-11-21
glrss-iscte,activities,Fixing UI images and some other classes,2021-11-22
pjspa-iscte,activities,envio calculo horas,2021-10-13
pjspa-iscte,activities,adding get cost,2021-11-21
pjspa-iscte,activities,adding get cost,2021-11-21
Henrique-DeSousa,activities,README v1.0.1

Added a backstory to the file.
Added some of the requisites.
Added a, still in progress, short description of the project.
Added English to our project.,2021-10-08
Henrique-DeSousa,activities,Created API's, Interface, Main and Utility classes,2021-10-13
Henrique-DeSousa,activities,Merge branch 'main' of https://github.com/trvas/ES-LETI-1Sem-2021-Grupo9,2021-10-13
Henrique-DeSousa,activities,Added Git constructor,2021-10-28
Henrique-DeSousa,activities,Added Git constructor,2021-10-29
Henrique-DeSousa,activities,Merge pull request #3 from trvas/backlog-items

Backlog items Backlog Items Developed in each SPRINT,2021-11-12
Henrique-DeSousa,activities,Added Git constructor,2021-10-28
Henrique-DeSousa,activities,Added Git constructor,2021-10-29
Henrique-DeSousa,activities,Updating GitManager,2021-11-21
Henrique-DeSousa,activities,Added GitManagerTest,2021-11-21
Henrique-DeSousa,activities,Deleted portion,2021-11-23
Henrique-DeSousa,activities,Merge pull request #10 from trvas/sprint-cost

Cost + Hours of each SPRINT,2021-11-23
trvas,activities,Initial commit,2021-10-08
trvas,activities,Added authors to README,2021-10-08
trvas,activities,intellij added files,2021-10-15
trvas,activities,intelliJ build,2021-10-15
trvas,activities,intelliJ build,2021-10-15
trvas,activities,renaming,2021-10-15
trvas,activities,added trello4j dependencies,2021-10-15
trvas,activities,testing trello4j,2021-10-15
trvas,activities,installed github api,2021-10-15
trvas,activities,clearing main,2021-10-15
trvas,activities,backlog branch,2021-10-15
trvas,activities,testing features,2021-10-15
trvas,activities,getSprintBacklog v1,2021-10-15
trvas,activities,getSprintBacklog v1 (reorganizing),2021-10-15
trvas,activities,reorganizing classes,2021-10-15
trvas,activities,added getBoardListIdByName + extras that might be helpful,2021-10-15
trvas,activities,changed the board to get cards from,2021-10-15
trvas,activities,same as prev,2021-10-15
trvas,activities,--,2021-10-15
trvas,activities,readded javaDoc of extra function,2021-10-15
trvas,activities,cleaning classes,2021-10-18
trvas,activities,adding test class and constructor to TrelloManager,2021-10-22
trvas,activities,Merge branch 'main' into backlog-items

# Conflicts:
#	src/main/java/TrelloManager.java,2021-10-24
trvas,activities,merging with main, changing a few details,2021-10-24
trvas,activities,changing syntax,2021-10-24
trvas,activities,changing syntax, removing unnecessary imports,2021-10-24
trvas,activities,cleaning up classes, implementing tests,2021-10-28
trvas,activities,changing the method to match the new trello board changes,2021-11-12
trvas,activities,clearing out the main method,2021-11-12
trvas,activities,updating the getBoardListByName method and test,2021-11-12
trvas,activities,Merge remote-tracking branch 'origin/main',2021-11-12
trvas,activities,cleaning the test class,2021-11-12
trvas,activities,Merge branch 'main' into backlog-items,2021-11-12
trvas,activities,resolving imports, cleaning trelloManager class,2021-11-12
trvas,activities,clearing out TrelloManager,2021-11-14
trvas,activities,adding the getSprintCount class + tests,2021-11-14
trvas,activities,fixing warnings,2021-11-20
trvas,activities,backlog branch,2021-10-15
trvas,activities,testing features,2021-10-15
trvas,activities,getSprintBacklog v1,2021-10-15
trvas,activities,getSprintBacklog v1 (reorganizing),2021-10-15
trvas,activities,reorganizing classes,2021-10-15
trvas,activities,changed the board to get cards from,2021-10-15
trvas,activities,--,2021-10-15
trvas,activities,cleaning classes,2021-10-18
trvas,activities,adding test class and constructor to TrelloManager,2021-10-22
trvas,activities,merging with main, changing a few details,2021-10-24
trvas,activities,cleaning up classes, implementing tests,2021-10-28
trvas,activities,changing the method to match the new trello board changes,2021-11-12
trvas,activities,clearing out the main method,2021-11-12
trvas,activities,cleaning the test class,2021-11-12
trvas,activities,changing syntax,2021-10-24
trvas,activities,changing syntax, removing unnecessary imports,2021-10-24
trvas,activities,updating the getBoardListByName method and test,2021-11-12
trvas,activities,resolving imports, cleaning trelloManager class,2021-11-12
trvas,activities,Merge pull request #7 from trvas/ui-features-2

UI features,2021-11-21
trvas,activities,re-adding trelloManager classes + tests.,2021-11-21
trvas,activities,renaming packages,2021-11-21
trvas,activities,fixing warnings,2021-11-21
trvas,activities,adding javadoc, fixing warnings,2021-11-21
trvas,activities,pasting methods onto new updated sprint cost branch,2021-11-21
trvas,activities,small updates,2021-11-22
trvas,activities,changing up classes, adding tests, fixing codesmells and other warnings,2021-11-23
trvas,activities,adding getsprintcostbymember + tests,2021-11-23
trvas,activities,Merge branch 'main' into sprint-cost,2021-11-23
trvas,activities,adding classes to get sprint hours + estimated and same thing but by member, plus tests,2021-11-23
trvas,activities,Merge remote-tracking branch 'origin/sprint-cost' into sprint-cost,2021-11-23
trvas,activities,fixed tests,2021-11-26
trvas,activities,adding the two classes (for committed activities and for not committed activities), javadocs and tests. plus some changes.,2021-11-26
trvas,activities,deleting main,2021-11-27
glrss-iscte,UI-connecting,Merge pull request #1 from Henrique-DeSousa/patch-1

README v1.0.1,2021-10-11
glrss-iscte,UI-connecting,reformato,2021-10-13
glrss-iscte,UI-connecting,Simple UI features / Reformat classes,2021-10-18
glrss-iscte,UI-connecting,Adding stuff,2021-10-18
glrss-iscte,UI-connecting,Simple UI features / Reformat classes,2021-11-19
glrss-iscte,UI-connecting,Handlers Working / Ready to implement Trello and Git,2021-11-19
glrss-iscte,UI-connecting,JavaDocs and refactoring classes,2021-11-20
glrss-iscte,UI-connecting,Merge remote-tracking branch 'origin/main-t' into main-t

# Conflicts:
#	src/main/java/GitManager.java
#	src/main/java/TrelloManager.java
#	src/test/java/TrelloManagerTest.java,2021-11-21
glrss-iscte,UI-connecting,JavaDocs and refactoring classes,2021-11-21
glrss-iscte,UI-connecting,Fixing UI images and some other classes,2021-11-22
glrss-iscte,UI-connecting,Testing Input,2021-11-27
glrss-iscte,UI-connecting,Connecting UI to Trello,2021-12-01
glrss-iscte,UI-connecting,Fixing Some stuff,2021-12-02
glrss-iscte,UI-connecting,Added 2 new PieCharts,2021-12-03
glrss-iscte,UI-connecting,Added 2 new PieCharts,2021-12-04
glrss-iscte,UI-connecting,Reformat + SliderCost,2021-12-04
glrss-iscte,UI-connecting,Reformat + SliderCost,2021-12-05
glrss-iscte,UI-connecting,CommitsTable,2021-12-05
glrss-iscte,UI-connecting,TagsTable and other minor stuff,2021-12-06
glrss-iscte,UI-connecting,.CSV,2021-12-06
glrss-iscte,UI-connecting,Sprint-2 Done,2021-12-06
pjspa-iscte,UI-connecting,envio calculo horas,2021-10-13
pjspa-iscte,UI-connecting,adding get cost,2021-11-21
pjspa-iscte,UI-connecting,adding get cost,2021-11-21
Henrique-DeSousa,UI-connecting,README v1.0.1

Added a backstory to the file.
Added some of the requisites.
Added a, still in progress, short description of the project.
Added English to our project.,2021-10-08
Henrique-DeSousa,UI-connecting,Created API's, Interface, Main and Utility classes,2021-10-13
Henrique-DeSousa,UI-connecting,Merge branch 'main' of https://github.com/trvas/ES-LETI-1Sem-2021-Grupo9,2021-10-13
Henrique-DeSousa,UI-connecting,Added Git constructor,2021-10-28
Henrique-DeSousa,UI-connecting,Added Git constructor,2021-10-29
Henrique-DeSousa,UI-connecting,Merge pull request #3 from trvas/backlog-items

Backlog items Backlog Items Developed in each SPRINT,2021-11-12
Henrique-DeSousa,UI-connecting,Added Git constructor,2021-10-28
Henrique-DeSousa,UI-connecting,Added Git constructor,2021-10-29
Henrique-DeSousa,UI-connecting,Updating GitManager,2021-11-21
Henrique-DeSousa,UI-connecting,Added GitManagerTest,2021-11-21
trvas,UI-connecting,Initial commit,2021-10-08
trvas,UI-connecting,Added authors to README,2021-10-08
trvas,UI-connecting,intellij added files,2021-10-15
trvas,UI-connecting,intelliJ build,2021-10-15
trvas,UI-connecting,intelliJ build,2021-10-15
trvas,UI-connecting,renaming,2021-10-15
trvas,UI-connecting,added trello4j dependencies,2021-10-15
trvas,UI-connecting,testing trello4j,2021-10-15
trvas,UI-connecting,installed github api,2021-10-15
trvas,UI-connecting,clearing main,2021-10-15
trvas,UI-connecting,backlog branch,2021-10-15
trvas,UI-connecting,testing features,2021-10-15
trvas,UI-connecting,getSprintBacklog v1,2021-10-15
trvas,UI-connecting,getSprintBacklog v1 (reorganizing),2021-10-15
trvas,UI-connecting,reorganizing classes,2021-10-15
trvas,UI-connecting,added getBoardListIdByName + extras that might be helpful,2021-10-15
trvas,UI-connecting,changed the board to get cards from,2021-10-15
trvas,UI-connecting,same as prev,2021-10-15
trvas,UI-connecting,--,2021-10-15
trvas,UI-connecting,readded javaDoc of extra function,2021-10-15
trvas,UI-connecting,cleaning classes,2021-10-18
trvas,UI-connecting,adding test class and constructor to TrelloManager,2021-10-22
trvas,UI-connecting,Merge branch 'main' into backlog-items

# Conflicts:
#	src/main/java/TrelloManager.java,2021-10-24
trvas,UI-connecting,merging with main, changing a few details,2021-10-24
trvas,UI-connecting,changing syntax,2021-10-24
trvas,UI-connecting,changing syntax, removing unnecessary imports,2021-10-24
trvas,UI-connecting,cleaning up classes, implementing tests,2021-10-28
trvas,UI-connecting,changing the method to match the new trello board changes,2021-11-12
trvas,UI-connecting,clearing out the main method,2021-11-12
trvas,UI-connecting,updating the getBoardListByName method and test,2021-11-12
trvas,UI-connecting,Merge remote-tracking branch 'origin/main',2021-11-12
trvas,UI-connecting,cleaning the test class,2021-11-12
trvas,UI-connecting,Merge branch 'main' into backlog-items,2021-11-12
trvas,UI-connecting,resolving imports, cleaning trelloManager class,2021-11-12
trvas,UI-connecting,clearing out TrelloManager,2021-11-14
trvas,UI-connecting,adding the getSprintCount class + tests,2021-11-14
trvas,UI-connecting,fixing warnings,2021-11-20
trvas,UI-connecting,backlog branch,2021-10-15
trvas,UI-connecting,testing features,2021-10-15
trvas,UI-connecting,getSprintBacklog v1,2021-10-15
trvas,UI-connecting,getSprintBacklog v1 (reorganizing),2021-10-15
trvas,UI-connecting,reorganizing classes,2021-10-15
trvas,UI-connecting,changed the board to get cards from,2021-10-15
trvas,UI-connecting,--,2021-10-15
trvas,UI-connecting,cleaning classes,2021-10-18
trvas,UI-connecting,adding test class and constructor to TrelloManager,2021-10-22
trvas,UI-connecting,merging with main, changing a few details,2021-10-24
trvas,UI-connecting,cleaning up classes, implementing tests,2021-10-28
trvas,UI-connecting,changing the method to match the new trello board changes,2021-11-12
trvas,UI-connecting,clearing out the main method,2021-11-12
trvas,UI-connecting,cleaning the test class,2021-11-12
trvas,UI-connecting,changing syntax,2021-10-24
trvas,UI-connecting,changing syntax, removing unnecessary imports,2021-10-24
trvas,UI-connecting,updating the getBoardListByName method and test,2021-11-12
trvas,UI-connecting,resolving imports, cleaning trelloManager class,2021-11-12
trvas,UI-connecting,Merge pull request #7 from trvas/ui-features-2

UI features,2021-11-21
trvas,UI-connecting,re-adding trelloManager classes + tests.,2021-11-21
trvas,UI-connecting,renaming packages,2021-11-21
trvas,UI-connecting,fixing warnings,2021-11-21
trvas,UI-connecting,adding javadoc, fixing warnings,2021-11-21
trvas,UI-connecting,testing tables,2021-12-02
trvas,UI-connecting,adding sprint 1 tables,2021-12-02
trvas,UI-connecting,creating a setTableItems method,2021-12-02
trvas,UI-connecting,small fixes,2021-12-02
trvas,UI-connecting,small fixes,2021-12-02
trvas,UI-connecting,small fixes,2021-12-02
trvas,UI-connecting,small fixes to TrelloManager,2021-12-02
trvas,UI-connecting,adding hours sum for global stats. deleting global functions in trello manager. adding setprice.,2021-12-03
trvas,UI-connecting,small fixes, updating gitmanager class,2021-12-04
trvas,UI-connecting,adding ids and sprint dates,2021-12-06
trvas,UI-connecting,adding ids,2021-12-06
trvas,UI-connecting,test,2021-12-06
trvas,UI-connecting,changing layouts,2021-12-06
trvas,UI-connecting,adding sprint 3 and javadoc.,2021-12-07
trvas,UI-connecting,small fixes,2021-12-07
glrss-iscte,Sprint_date,Merge pull request #1 from Henrique-DeSousa/patch-1

README v1.0.1,2021-10-11
glrss-iscte,Sprint_date,reformato,2021-10-13
glrss-iscte,Sprint_date,Simple UI features / Reformat classes,2021-10-18
glrss-iscte,Sprint_date,Adding stuff,2021-10-18
glrss-iscte,Sprint_date,Simple UI features / Reformat classes,2021-11-19
glrss-iscte,Sprint_date,Handlers Working / Ready to implement Trello and Git,2021-11-19
glrss-iscte,Sprint_date,JavaDocs and refactoring classes,2021-11-20
glrss-iscte,Sprint_date,Merge remote-tracking branch 'origin/main-t' into main-t

# Conflicts:
#	src/main/java/GitManager.java
#	src/main/java/TrelloManager.java
#	src/test/java/TrelloManagerTest.java,2021-11-21
glrss-iscte,Sprint_date,JavaDocs and refactoring classes,2021-11-21
glrss-iscte,Sprint_date,Fixing UI images and some other classes,2021-11-22
pjspa-iscte,Sprint_date,envio calculo horas,2021-10-13
pjspa-iscte,Sprint_date,adding get cost,2021-11-21
pjspa-iscte,Sprint_date,adding get cost,2021-11-21
Henrique-DeSousa,Sprint_date,README v1.0.1

Added a backstory to the file.
Added some of the requisites.
Added a, still in progress, short description of the project.
Added English to our project.,2021-10-08
Henrique-DeSousa,Sprint_date,Created API's, Interface, Main and Utility classes,2021-10-13
Henrique-DeSousa,Sprint_date,Merge branch 'main' of https://github.com/trvas/ES-LETI-1Sem-2021-Grupo9,2021-10-13
Henrique-DeSousa,Sprint_date,Added Git constructor,2021-10-28
Henrique-DeSousa,Sprint_date,Added Git constructor,2021-10-29
Henrique-DeSousa,Sprint_date,Merge pull request #3 from trvas/backlog-items

Backlog items Backlog Items Developed in each SPRINT,2021-11-12
Henrique-DeSousa,Sprint_date,Added Git constructor,2021-10-28
Henrique-DeSousa,Sprint_date,Added Git constructor,2021-10-29
Henrique-DeSousa,Sprint_date,Updating GitManager,2021-11-21
Henrique-DeSousa,Sprint_date,Added GitManagerTest,2021-11-21
trvas,Sprint_date,Initial commit,2021-10-08
trvas,Sprint_date,Added authors to README,2021-10-08
trvas,Sprint_date,intellij added files,2021-10-15
trvas,Sprint_date,intelliJ build,2021-10-15
trvas,Sprint_date,intelliJ build,2021-10-15
trvas,Sprint_date,renaming,2021-10-15
trvas,Sprint_date,added trello4j dependencies,2021-10-15
trvas,Sprint_date,testing trello4j,2021-10-15
trvas,Sprint_date,installed github api,2021-10-15
trvas,Sprint_date,clearing main,2021-10-15
trvas,Sprint_date,backlog branch,2021-10-15
trvas,Sprint_date,testing features,2021-10-15
trvas,Sprint_date,getSprintBacklog v1,2021-10-15
trvas,Sprint_date,getSprintBacklog v1 (reorganizing),2021-10-15
trvas,Sprint_date,reorganizing classes,2021-10-15
trvas,Sprint_date,added getBoardListIdByName + extras that might be helpful,2021-10-15
trvas,Sprint_date,changed the board to get cards from,2021-10-15
trvas,Sprint_date,same as prev,2021-10-15
trvas,Sprint_date,--,2021-10-15
trvas,Sprint_date,readded javaDoc of extra function,2021-10-15
trvas,Sprint_date,cleaning classes,2021-10-18
trvas,Sprint_date,adding test class and constructor to TrelloManager,2021-10-22
trvas,Sprint_date,Merge branch 'main' into backlog-items

# Conflicts:
#	src/main/java/TrelloManager.java,2021-10-24
trvas,Sprint_date,merging with main, changing a few details,2021-10-24
trvas,Sprint_date,changing syntax,2021-10-24
trvas,Sprint_date,changing syntax, removing unnecessary imports,2021-10-24
trvas,Sprint_date,cleaning up classes, implementing tests,2021-10-28
trvas,Sprint_date,changing the method to match the new trello board changes,2021-11-12
trvas,Sprint_date,clearing out the main method,2021-11-12
trvas,Sprint_date,updating the getBoardListByName method and test,2021-11-12
trvas,Sprint_date,Merge remote-tracking branch 'origin/main',2021-11-12
trvas,Sprint_date,cleaning the test class,2021-11-12
trvas,Sprint_date,Merge branch 'main' into backlog-items,2021-11-12
trvas,Sprint_date,resolving imports, cleaning trelloManager class,2021-11-12
trvas,Sprint_date,clearing out TrelloManager,2021-11-14
trvas,Sprint_date,adding the getSprintCount class + tests,2021-11-14
trvas,Sprint_date,fixing warnings,2021-11-20
trvas,Sprint_date,backlog branch,2021-10-15
trvas,Sprint_date,testing features,2021-10-15
trvas,Sprint_date,getSprintBacklog v1,2021-10-15
trvas,Sprint_date,getSprintBacklog v1 (reorganizing),2021-10-15
trvas,Sprint_date,reorganizing classes,2021-10-15
trvas,Sprint_date,changed the board to get cards from,2021-10-15
trvas,Sprint_date,--,2021-10-15
trvas,Sprint_date,cleaning classes,2021-10-18
trvas,Sprint_date,adding test class and constructor to TrelloManager,2021-10-22
trvas,Sprint_date,merging with main, changing a few details,2021-10-24
trvas,Sprint_date,cleaning up classes, implementing tests,2021-10-28
trvas,Sprint_date,changing the method to match the new trello board changes,2021-11-12
trvas,Sprint_date,clearing out the main method,2021-11-12
trvas,Sprint_date,cleaning the test class,2021-11-12
trvas,Sprint_date,changing syntax,2021-10-24
trvas,Sprint_date,changing syntax, removing unnecessary imports,2021-10-24
trvas,Sprint_date,updating the getBoardListByName method and test,2021-11-12
trvas,Sprint_date,resolving imports, cleaning trelloManager class,2021-11-12
trvas,Sprint_date,Merge pull request #7 from trvas/ui-features-2

UI features,2021-11-21
trvas,Sprint_date,re-adding trelloManager classes + tests.,2021-11-21
trvas,Sprint_date,renaming packages,2021-11-21
trvas,Sprint_date,fixing warnings,2021-11-21
trvas,Sprint_date,adding javadoc, fixing warnings,2021-11-21
glrss-iscte,Java_Doc,Merge pull request #1 from Henrique-DeSousa/patch-1

README v1.0.1,2021-10-11
glrss-iscte,Java_Doc,reformato,2021-10-13
glrss-iscte,Java_Doc,Simple UI features / Reformat classes,2021-10-18
glrss-iscte,Java_Doc,Adding stuff,2021-10-18
glrss-iscte,Java_Doc,Simple UI features / Reformat classes,2021-11-19
glrss-iscte,Java_Doc,Handlers Working / Ready to implement Trello and Git,2021-11-19
glrss-iscte,Java_Doc,JavaDocs and refactoring classes,2021-11-20
glrss-iscte,Java_Doc,Merge remote-tracking branch 'origin/main-t' into main-t

# Conflicts:
#	src/main/java/GitManager.java
#	src/main/java/TrelloManager.java
#	src/test/java/TrelloManagerTest.java,2021-11-21
glrss-iscte,Java_Doc,JavaDocs and refactoring classes,2021-11-21
glrss-iscte,Java_Doc,Fixing UI images and some other classes,2021-11-22
pjspa-iscte,Java_Doc,envio calculo horas,2021-10-13
pjspa-iscte,Java_Doc,adding get cost,2021-11-21
pjspa-iscte,Java_Doc,adding get cost,2021-11-21
pjspa-iscte,Java_Doc,class,2021-11-26
pjspa-iscte,Java_Doc,class,2021-11-29
pjspa-iscte,Java_Doc,class,2021-11-30
pjspa-iscte,Java_Doc,class,2021-12-03
pjspa-iscte,Java_Doc,class,2021-12-03
Henrique-DeSousa,Java_Doc,README v1.0.1

Added a backstory to the file.
Added some of the requisites.
Added a, still in progress, short description of the project.
Added English to our project.,2021-10-08
Henrique-DeSousa,Java_Doc,Created API's, Interface, Main and Utility classes,2021-10-13
Henrique-DeSousa,Java_Doc,Merge branch 'main' of https://github.com/trvas/ES-LETI-1Sem-2021-Grupo9,2021-10-13
Henrique-DeSousa,Java_Doc,Added Git constructor,2021-10-28
Henrique-DeSousa,Java_Doc,Added Git constructor,2021-10-29
Henrique-DeSousa,Java_Doc,Merge pull request #3 from trvas/backlog-items

Backlog items Backlog Items Developed in each SPRINT,2021-11-12
Henrique-DeSousa,Java_Doc,Added Git constructor,2021-10-28
Henrique-DeSousa,Java_Doc,Added Git constructor,2021-10-29
Henrique-DeSousa,Java_Doc,Updating GitManager,2021-11-21
Henrique-DeSousa,Java_Doc,Added GitManagerTest,2021-11-21
trvas,Java_Doc,Initial commit,2021-10-08
trvas,Java_Doc,Added authors to README,2021-10-08
trvas,Java_Doc,intellij added files,2021-10-15
trvas,Java_Doc,intelliJ build,2021-10-15
trvas,Java_Doc,intelliJ build,2021-10-15
trvas,Java_Doc,renaming,2021-10-15
trvas,Java_Doc,added trello4j dependencies,2021-10-15
trvas,Java_Doc,testing trello4j,2021-10-15
trvas,Java_Doc,installed github api,2021-10-15
trvas,Java_Doc,clearing main,2021-10-15
trvas,Java_Doc,backlog branch,2021-10-15
trvas,Java_Doc,testing features,2021-10-15
trvas,Java_Doc,getSprintBacklog v1,2021-10-15
trvas,Java_Doc,getSprintBacklog v1 (reorganizing),2021-10-15
trvas,Java_Doc,reorganizing classes,2021-10-15
trvas,Java_Doc,added getBoardListIdByName + extras that might be helpful,2021-10-15
trvas,Java_Doc,changed the board to get cards from,2021-10-15
trvas,Java_Doc,same as prev,2021-10-15
trvas,Java_Doc,--,2021-10-15
trvas,Java_Doc,readded javaDoc of extra function,2021-10-15
trvas,Java_Doc,cleaning classes,2021-10-18
trvas,Java_Doc,adding test class and constructor to TrelloManager,2021-10-22
trvas,Java_Doc,Merge branch 'main' into backlog-items

# Conflicts:
#	src/main/java/TrelloManager.java,2021-10-24
trvas,Java_Doc,merging with main, changing a few details,2021-10-24
trvas,Java_Doc,changing syntax,2021-10-24
trvas,Java_Doc,changing syntax, removing unnecessary imports,2021-10-24
trvas,Java_Doc,cleaning up classes, implementing tests,2021-10-28
trvas,Java_Doc,changing the method to match the new trello board changes,2021-11-12
trvas,Java_Doc,clearing out the main method,2021-11-12
trvas,Java_Doc,updating the getBoardListByName method and test,2021-11-12
trvas,Java_Doc,Merge remote-tracking branch 'origin/main',2021-11-12
trvas,Java_Doc,cleaning the test class,2021-11-12
trvas,Java_Doc,Merge branch 'main' into backlog-items,2021-11-12
trvas,Java_Doc,resolving imports, cleaning trelloManager class,2021-11-12
trvas,Java_Doc,clearing out TrelloManager,2021-11-14
trvas,Java_Doc,adding the getSprintCount class + tests,2021-11-14
trvas,Java_Doc,fixing warnings,2021-11-20
trvas,Java_Doc,backlog branch,2021-10-15
trvas,Java_Doc,testing features,2021-10-15
trvas,Java_Doc,getSprintBacklog v1,2021-10-15
trvas,Java_Doc,getSprintBacklog v1 (reorganizing),2021-10-15
trvas,Java_Doc,reorganizing classes,2021-10-15
trvas,Java_Doc,changed the board to get cards from,2021-10-15
trvas,Java_Doc,--,2021-10-15
trvas,Java_Doc,cleaning classes,2021-10-18
trvas,Java_Doc,adding test class and constructor to TrelloManager,2021-10-22
trvas,Java_Doc,merging with main, changing a few details,2021-10-24
trvas,Java_Doc,cleaning up classes, implementing tests,2021-10-28
trvas,Java_Doc,changing the method to match the new trello board changes,2021-11-12
trvas,Java_Doc,clearing out the main method,2021-11-12
trvas,Java_Doc,cleaning the test class,2021-11-12
trvas,Java_Doc,changing syntax,2021-10-24
